,dem,povrate,pci,Dean,Kerry,white,absentee,population,pObama
Alton,979,0.0653,25940,0.2782,0.3203,0.98312,0.059857,4693,0.378958120531154
Barnstead,913,0.038,19773,0.24398,0.36747,0.97349,0.050449,4266,0.377875136911281
Belmont,1305,0.0428,19986,0.20096,0.41627,0.96739,0.043649,7006,0.28735632183908
CenterHarbor,268,0.0669,25627,0.28495,0.33333,0.97892,0.107356,1033,0.343283582089552
Gilford,1633,0.0332,32667,0.24937,0.37781,0.97986,0.074706,7033,0.409063074096754
Gilmanton,761,0.0586,23163,0.30503,0.39341,0.98301,0.053191,3222,0.373193166885677
LaconiaWard1,530,0.0886,19540,0.20903,0.3658,0.96137,0.075856,2792.5,0.367924528301887
LaconiaWard2,532,0.0886,19540,0.24384,0.40274,0.96137,0.078772,2792.5,0.406015037593985
LaconiaWard3,517,0.0886,19540,0.23037,0.35864,0.96137,0.054732,2792.5,0.392649903288201
LaconiaWard4,518,0.0886,19540,0.20792,0.41337,0.96137,0.05618,2792.5,0.361003861003861
LaconiaWard5,494,0.0886,19540,0.20058,0.47093,0.96137,0.049563,2792.5,0.321862348178138
LaconiaWard6,575,0.0886,19540,0.24344,0.35561,0.96137,0.050584,2792.5,0.363478260869565
Meredith,1433,0.0657,24867,0.22903,0.39114,0.97644,0.074593,6121,0.41102581995813
NewHampton,516,0.0467,20336,0.31267,0.3504,0.96718,0.084236,2019,0.348837209302326
Sanbornton,787,0.051,22879,0.27907,0.40072,0.9783,0.063973,2726,0.353240152477764
Tilton,770,0.0517,19578,0.24768,0.35604,0.96031,0.05935,3504,0.366233766233766
Albany,194,0.157,20690,0.29927,0.36496,0.97706,0.048689,656,0.422680412371134
Bartlett,788,0.0814,21631,0.30343,0.39152,0.98004,0.089095,2822,0.376903553299492
Brookfield,158,0.0149,25745,0.42742,0.27419,0.99007,0.057325,641,0.329113924050633
Conway,2202,0.1034,19673,0.30047,0.37677,0.97164,0.084818,8843,0.401907356948229
Eaton,140,0.0721,21122,0.25743,0.38614,0.98667,0.09417,399,0.564285714285714
Effingham,296,0.153,17089,0.32258,0.41014,0.98115,0.05071,1325,0.317567567567568
Freedom,319,0.0678,23036,0.28881,0.3935,0.99156,0.07716,1361,0.401253918495298
Jackson,387,0.0807,25718,0.39286,0.3022,0.99162,0.16458,850,0.449612403100775
Madison,640,0.0446,20608,0.29369,0.41019,0.97177,0.09436,2080,0.3921875
Moultonborough,959,0.0402,25733,0.24148,0.37358,0.98037,0.115805,4668,0.433785192909281
Ossipee,744,0.0999,18092,0.27406,0.37657,0.97697,0.071788,4328,0.352150537634409
Sandwich,461,0.0608,23714,0.46632,0.25907,0.97434,0.089844,1318,0.457700650759219
Tamworth,646,0.0949,17961,0.22312,0.43002,0.9749,0.095194,2556,0.41640866873065
Tuftonboro,517,0.0641,25070,0.24866,0.36898,0.98138,0.100515,2225,0.456479690522244
Wakefield,802,0.0709,21507,0.24957,0.36489,0.97836,0.087742,4468,0.296758104738155
Wolfeboro,1512,0.0629,26361,0.3405,0.35932,0.98619,0.093532,6289,0.423280423280423
Alstead,519,0.0785,20444,0.43218,0.21149,0.97788,0.046444,1977,0.46242774566474
Chesterfield,952,0.0446,25051,0.39562,0.27964,0.97374,0.057568,3619,0.385504201680672
Dublin,494,0.1063,27028,0.31206,0.35225,0.9668,0.084894,1508,0.495951417004049
Fitzwilliam,543,0.067,23127,0.28667,0.32667,0.96871,0.053856,2213,0.283609576427256
Gilsum,181,0.0701,20956,0.34351,0.22137,0.97941,0.010989,811,0.403314917127072
Harrisville,462,0.0569,25397,0.41538,0.28718,0.97674,0.056466,1096,0.461038961038961
Hinsdale,759,0.0637,16611,0.3661,0.34915,0.97232,0.040836,4213,0.337285902503294
Jaffrey,1223,0.0784,21412,0.24975,0.40967,0.96896,0.070138,5573,0.376124284546198
KeeneWard1,891,0.1072,20544,0.36375,0.2925,0.97132,0.043137,4567.4,0.4668911335578
KeeneWard2,1433,0.1072,20544,0.36239,0.28073,0.97132,0.054213,4567.4,0.410327983251919
KeeneWard3,1283,0.1072,20544,0.33471,0.30062,0.97132,0.06872,4567.4,0.392049883086516
KeeneWard4,1330,0.1072,20544,0.29429,0.32857,0.97132,0.041597,4567.4,0.378195488721805
KeeneWard5,1347,0.1072,20544,0.37594,0.29041,0.97132,0.076056,4567.4,0.403860430586489
Marlborough,651,0.0354,19967,0.32768,0.29002,0.98059,0.049813,2064,0.468509984639017
Marlow,203,0.0413,18810,0.40462,0.26012,0.98126,0.034056,773,0.320197044334975
Richmond,283,0.0758,21174,0.33636,0.3,0.97307,0.040476,1109,0.374558303886926
Rindge,987,0.0758,18495,0.26904,0.37346,0.96661,0.052662,5888,0.35258358662614
Stoddard,306,0.0858,19617,0.20982,0.32143,0.96552,0.071283,952,0.343137254901961
Sullivan,205,0.0445,21143,0.32653,0.27891,0.98123,0.045977,792,0.346341463414634
Surry,228,0.0185,24277,0.22941,0.29412,0.96731,0.04065,692,0.394736842105263
Swanzey,1583,0.0536,20150,0.30629,0.33181,0.97853,0.041887,6944,0.349968414403032
Troy,471,0.0795,17323,0.23823,0.40166,0.97859,0.029231,1976,0.337579617834395
Walpole,1054,0.0612,23295,0.42285,0.27444,0.9783,0.043202,3652,0.463946869070209
Westmoreland,515,0.0248,24488,0.40471,0.24706,0.97481,0.058252,1825,0.413592233009709
Winchester,825,0.1199,16012,0.29452,0.3476,0.96959,0.054329,4223,0.286060606060606
BerlinWard1,667,0.1237,15780,0.16391,0.50662,0.97812,0.035608,2665.5,0.205397301349325
BerlinWard2,678,0.1237,15780,0.18981,0.49209,0.97812,0.052126,2665.5,0.238938053097345
BerlinWard3,769,0.1237,15780,0.17823,0.4511,0.97812,0.061117,2665.5,0.221066319895969
BerlinWard4,627,0.1237,15780,0.14176,0.53065,0.97812,0.044776,2665.5,0.215311004784689
Carroll,214,0.069,18734,0.22785,0.38608,0.98643,0.101639,686,0.355140186915888
Colebrook,339,0.1204,18390,0.25847,0.30085,0.98277,0.042301,2365,0.395280235988201
Columbia,111,0.0726,16859,0.38095,0.33333,0.97467,0.039216,769,0.351351351351351
Dalton,177,0.056,16234,0.33929,0.33929,0.95361,0.069697,972,0.384180790960452
Gorham,811,0.0821,19556,0.18401,0.47964,0.97237,0.066727,2948,0.273736128236745
Jefferson,186,0.0969,19905,0.37069,0.37069,0.98211,0.075426,1026,0.397849462365591
Lancaster,614,0.0573,19818,0.34273,0.39046,0.975,0.061355,3354,0.363192182410423
Milan,328,0.1145,15101,0.21495,0.46729,0.98948,0.059701,1353,0.259146341463415
Northumberland,514,0.0179,25092,0.23077,0.39601,0.97908,0.077508,2489,0.250972762645914
Pittsburg,127,0.037,24899,0.09091,0.47273,0.97924,0.10828,911,0.385826771653543
Randolph,121,0.0512,17168,0.45902,0.34426,0.9587,0.227273,415,0.471074380165289
Shelburne,107,0.1433,13784,0.325,0.35,0.96834,0.076087,387,0.364485981308411
Stark,135,0.0977,17070,0.23288,0.46575,0.97287,0.041451,521,0.251851851851852
Alexandria,348,0.0627,19323,0.2249,0.37349,0.97667,0.048649,1412,0.347701149425287
Ashland,417,0.1018,17450,0.29167,0.38141,0.96931,0.026275,1984,0.345323741007194
Bath,154,0.0506,17916,0.46226,0.34906,0.99328,0.064171,920,0.38961038961039
Bethlehem,620,0.1137,20155,0.42316,0.29684,0.96407,0.059218,2272,0.374193548387097
Bridgewater,246,0.0691,28600,0.2716,0.45062,0.98871,0.098851,1013,0.33739837398374
Bristol,606,0.0692,19807,0.21519,0.3481,0.95516,0.055611,3097,0.389438943894389
Campton,753,0.0881,20189,0.33531,0.32939,0.97646,0.061055,2803,0.379814077025232
Canaan,758,0.06,20515,0.42179,0.33919,0.9765,0.051643,3414,0.403693931398417
Enfield,1026,0.0501,23054,0.4317,0.33119,0.97358,0.057981,4750,0.384990253411306
Franconia,381,0.0892,20351,0.44086,0.30108,0.97511,0.131439,950,0.522309711286089
Grafton,269,0.0788,16944,0.46392,0.29381,0.9754,0.08061,1162,0.345724907063197
Hanover,4778,0.0906,30393,0.43626,0.29395,0.86608,0.09578,10863,0.581624110506488
Haverhill,562,0.0682,17465,0.4162,0.36034,0.97826,0.059497,4505,0.396797153024911
Hebron,125,0.0282,30196,0.34286,0.31429,0.95861,0.118211,513,0.376
Holderness,577,0.0492,27825,0.35169,0.31356,0.97461,0.085876,1993,0.403812824956672
LebanonWard1,1070,0.0883,25133,0.47784,0.30703,0.93396,0.057799,4337,0.442990654205607
LebanonWard2,1060,0.0883,25133,0.42952,0.31964,0.93396,0.065098,4337,0.455660377358491
LebanonWard3,1138,0.0883,25133,0.45262,0.29676,0.93396,0.063283,4337,0.42530755711775
Lincoln,292,0.0795,17998,0.20079,0.3937,0.96774,0.087794,1293,0.35958904109589
Lisbon,252,0.0752,16836,0.23387,0.43548,0.98551,0.047847,1623,0.396825396825397
Littleton,1069,0.1142,18803,0.32385,0.36856,0.9574,0.08973,5971,0.427502338634238
Lyme,705,0.0421,35887,0.57021,0.23801,0.98451,0.117845,1705,0.540425531914894
Monroe,126,0.0157,19730,0.41414,0.29293,0.97628,0.068657,781,0.388888888888889
Orford,332,0.0551,24196,0.56048,0.2379,0.96609,0.079566,1134,0.496987951807229
Piermont,189,0.0489,22183,0.5493,0.21831,0.97602,0.052045,712,0.428571428571429
